City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,42.46,52,75,16.11,broken clouds
1,Krasnoselkup,RU,65.7,82.4667,31.48,83,100,12.55,overcast clouds
2,Kendari,ID,-3.945,122.4989,76.59,85,99,2.37,overcast clouds
3,Dali,CN,25.7,100.1833,61.83,90,66,3.04,broken clouds
4,Obo,CF,5.3998,26.4869,86.16,57,76,2.53,broken clouds
5,Jamestown,US,42.097,-79.2353,54.72,60,100,8.05,mist
6,Ahipara,NZ,-35.1667,173.1667,54.81,92,65,5.79,broken clouds
7,Saldanha,ZA,-33.0117,17.9442,68.05,67,31,11.86,scattered clouds
8,Busselton,AU,-33.65,115.3333,52.88,84,34,8.68,scattered clouds
9,Nelson Bay,AU,-32.7167,152.15,61.0,94,16,7.0,few clouds
10,Iskateley,RU,67.6803,53.1512,40.06,53,67,12.19,broken clouds
11,Atuona,PF,-9.8,-139.0333,77.11,68,65,18.92,broken clouds
12,Thompson,CA,55.7435,-97.8558,50.16,71,100,10.36,overcast clouds
13,Ponta Do Sol,PT,32.6667,-17.1,74.03,83,93,10.74,light rain
14,Kondopoga,RU,62.2057,34.2614,46.08,94,100,5.01,overcast clouds
15,Mar Del Plata,AR,-38.0023,-57.5575,57.22,84,0,5.75,clear sky
16,Vaini,TO,-21.2,-175.2,75.36,88,100,4.61,overcast clouds
17,Cabo San Lucas,MX,22.8909,-109.9124,82.51,76,0,11.5,clear sky
18,Biak,ID,-0.9131,122.8766,75.92,75,36,4.41,scattered clouds
19,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,68,77,2.21,broken clouds
20,Dikson,RU,73.5069,80.5464,33.13,78,100,22.17,overcast clouds
21,Tuktoyaktuk,CA,69.4541,-133.0374,30.61,85,90,11.56,overcast clouds
22,Kaitangata,NZ,-46.2817,169.8464,47.59,94,100,5.64,overcast clouds
23,Rikitea,PF,-23.1203,-134.9692,68.14,65,24,17.74,few clouds
24,Stokmarknes,NO,68.5646,14.9108,55.38,58,0,14.97,clear sky
25,College,US,64.8569,-147.8028,40.89,86,20,0.0,few clouds
26,Souillac,MU,-20.5167,57.5167,75.58,64,75,13.8,broken clouds
27,Husavik,IS,66.0449,-17.3389,35.15,98,95,46.22,snow
28,Erenhot,CN,43.6475,111.9767,64.2,30,18,6.62,few clouds
29,Avarua,CK,-21.2078,-159.775,73.45,78,20,12.66,few clouds
30,Punta Arenas,CL,-53.15,-70.9167,39.31,52,75,9.22,broken clouds
31,Esperance,AU,-33.8667,121.9,56.71,79,27,11.65,scattered clouds
32,Mataura,NZ,-46.1927,168.8643,49.48,95,100,2.08,overcast clouds
33,Vila Velha,BR,-20.3297,-40.2925,69.75,92,100,6.91,overcast clouds
34,Longyearbyen,SJ,78.2186,15.6401,44.44,76,75,8.05,broken clouds
35,Cape Town,ZA,-33.9258,18.4232,68.11,66,40,13.8,scattered clouds
36,Castro,BR,-24.7911,-50.0119,51.42,88,98,7.38,overcast clouds
37,Nara,JP,34.6851,135.8049,75.49,45,14,1.72,few clouds
38,Evensk,RU,61.95,159.2333,39.45,62,84,25.97,broken clouds
39,Harnosand,SE,62.6323,17.9379,55.42,86,36,9.48,scattered clouds
40,Ilulissat,GL,69.2167,-51.1,33.82,51,20,21.85,few clouds
41,Grand Gaube,MU,-20.0064,57.6608,76.37,59,6,10.0,clear sky
42,Champerico,GT,14.3,-91.9167,75.74,88,100,5.57,overcast clouds
43,Lompoc,US,34.6391,-120.4579,60.53,97,100,4.61,mist
44,Yellowknife,CA,62.456,-114.3525,37.92,75,75,9.22,broken clouds
45,Sibu,MY,2.3,111.8167,77.31,94,40,6.91,scattered clouds
46,Ribas Do Rio Pardo,BR,-20.4431,-53.7592,77.25,30,46,7.02,scattered clouds
47,Pangnirtung,CA,66.1451,-65.7125,39.24,43,20,3.42,few clouds
48,Katsuura,JP,35.1333,140.3,73.33,86,55,14.34,broken clouds
49,Sechura,PE,-5.5569,-80.8222,62.24,81,86,13.11,overcast clouds
50,Hermanus,ZA,-34.4187,19.2345,67.8,72,2,10.09,clear sky
51,Assiniboia,CA,49.6334,-105.9845,33.62,86,2,4.61,clear sky
52,Puerto Ayora,EC,-0.7393,-90.3518,65.55,99,99,10.0,overcast clouds
53,Paine,CL,-33.8167,-70.75,56.71,87,34,2.19,scattered clouds
54,Bahia Blanca,AR,-38.7196,-62.2724,57.61,76,100,2.59,overcast clouds
55,Pevek,RU,69.7008,170.3133,29.71,73,41,5.01,scattered clouds
56,Tasiilaq,GL,65.6145,-37.6368,44.76,41,11,17.65,few clouds
57,Dong Hoi,VN,17.4833,106.6,77.72,86,48,1.92,scattered clouds
58,Carnarvon,AU,-24.8667,113.6333,65.52,67,0,28.79,clear sky
59,Chuy,UY,-33.6971,-53.4616,58.91,66,98,8.25,overcast clouds
60,Yining,CN,29.0361,114.5636,67.23,68,84,2.37,broken clouds
61,Provideniya,RU,64.3833,-173.3,35.42,73,71,6.2,broken clouds
62,Leningradskiy,RU,69.3833,178.4167,31.28,87,100,2.86,light snow
63,Nikolskoye,RU,59.7035,30.7861,46.78,95,100,4.16,overcast clouds
64,Zyryanka,RU,65.75,150.85,31.82,73,10,6.04,clear sky
65,Barpali,IN,21.2,83.5833,82.13,77,95,1.77,overcast clouds
66,Hobart,AU,-42.8794,147.3294,49.86,92,0,1.01,clear sky
67,Alofi,NU,-19.0595,-169.9187,73.29,94,91,5.75,overcast clouds
68,Bethel,US,41.3712,-73.414,59.49,88,100,0.0,overcast clouds
69,Hambantota,LK,6.1241,81.1185,85.24,67,71,20.04,broken clouds
70,Bhavnagar,IN,21.7667,72.15,85.82,66,40,16.11,scattered clouds
71,Siuna,NI,13.7332,-84.7773,70.97,98,64,3.09,broken clouds
72,Albany,US,42.6001,-73.9662,53.73,88,93,3.38,overcast clouds
73,Cidreira,BR,-30.1811,-50.2056,63.0,73,37,16.35,scattered clouds
74,Gorshechnoye,RU,51.5244,38.0365,44.71,88,100,17.52,light rain
75,Marzuq,YE,14.4,46.4667,90.99,18,57,8.08,broken clouds
76,San Pedro De Ycuamandiyu,PY,-24.0917,-57.0764,63.14,87,100,5.7,overcast clouds
77,Saskylakh,RU,71.9167,114.0833,30.7,86,100,9.98,overcast clouds
78,Port Alfred,ZA,-33.5906,26.891,85.89,36,68,23.29,broken clouds
79,Broken Hill,AU,-31.95,141.4333,71.42,32,100,8.1,overcast clouds
80,Hay River,CA,60.8156,-115.7999,39.18,81,75,10.36,broken clouds
81,Dingle,PH,10.9995,122.6711,76.62,88,100,8.23,moderate rain
82,Khani,GE,41.9563,42.9566,58.57,60,84,5.12,broken clouds
83,York,US,40.1254,-77.0,59.49,82,0,4.61,clear sky
84,Floro,NO,61.5996,5.0328,50.23,81,75,21.85,light rain
85,Pierre,US,44.3683,-100.351,53.28,79,75,12.66,broken clouds
86,Paris,FR,48.8534,2.3488,66.99,50,20,17.0,few clouds
87,Bredasdorp,ZA,-34.5322,20.0403,68.0,59,18,14.7,light rain
88,Bryan,US,30.6744,-96.37,73.15,96,0,0.0,mist
89,Dire,ML,12.2833,-10.9667,84.15,73,64,3.76,light rain
90,Hilo,US,19.7297,-155.09,76.28,96,100,8.05,light rain
91,Upernavik,GL,72.7868,-56.1549,30.27,82,100,8.61,overcast clouds
92,Namatanai,PG,-3.6667,152.4333,79.93,79,77,8.05,broken clouds
93,Narsaq,GL,60.9167,-46.05,48.42,50,100,10.11,overcast clouds
94,Wajid,SO,3.8093,43.2471,89.19,34,71,12.1,broken clouds
95,Tam Ky,VN,15.5667,108.4833,77.14,89,49,2.42,scattered clouds
96,Richards Bay,ZA,-28.783,32.0377,94.03,35,1,15.9,clear sky
97,Sao Filipe,CV,14.8961,-24.4956,79.12,79,66,11.21,broken clouds
98,Oga,IT,46.4631,10.347,51.96,97,100,4.23,overcast clouds
99,Zhuji,CN,29.7188,120.2423,65.86,84,65,3.53,broken clouds
100,Nicolas Bravo,MX,18.45,-88.9167,71.8,99,59,1.36,broken clouds
101,Mahibadhoo,MV,3.7833,72.9667,82.49,76,84,13.89,broken clouds
102,Yenagoa,NG,4.9247,6.2642,84.6,71,81,6.38,moderate rain
103,Lerwick,GB,60.1545,-1.1494,55.4,85,100,34.96,overcast clouds
104,Ancud,CL,-41.8697,-73.8203,47.23,87,100,6.58,overcast clouds
105,Mahebourg,MU,-20.4081,57.7,76.24,64,75,13.8,broken clouds
106,Maniitsoq,GL,65.4167,-52.9,40.03,53,55,5.21,broken clouds
107,Vila Franca Do Campo,PT,37.7167,-25.4333,73.81,73,87,16.49,overcast clouds
108,Pochutla,MX,15.7432,-96.4661,76.82,91,100,3.27,overcast clouds
109,Maloy,NO,61.9353,5.1136,48.72,36,100,29.55,light rain
110,Kazachinskoye,RU,57.6953,93.2761,36.09,82,100,3.11,overcast clouds
111,Poum,NC,-20.2333,164.0167,75.87,75,10,16.37,clear sky
112,Vadso,NO,70.0744,29.7487,50.16,71,8,8.05,clear sky
113,Meulaboh,ID,4.1363,96.1285,78.6,84,89,3.91,overcast clouds
114,Keskin,TR,39.6731,33.6136,67.91,15,0,1.52,clear sky
115,Aripuana,BR,-9.1667,-60.6333,84.16,52,5,2.26,clear sky
116,Puerto Leguizamo,CO,-0.1934,-74.7819,71.02,97,95,1.25,overcast clouds
117,San Andres,CO,12.5847,-81.7006,82.42,83,75,4.61,broken clouds
118,San Joaquin,US,37.9333,-121.3011,68.25,69,0,5.75,clear sky
119,Salinopolis,BR,-0.6136,-47.3561,82.74,70,93,10.71,overcast clouds
120,Butaritari,KI,3.0707,172.7902,81.43,72,1,11.39,clear sky
121,Lagoa,PT,39.05,-27.9833,70.65,74,74,26.8,broken clouds
122,Fort Nelson,CA,58.8053,-122.7002,36.99,81,75,3.44,broken clouds
123,Kavieng,PG,-2.5744,150.7967,82.54,73,25,12.84,scattered clouds
124,Naze,JP,28.3667,129.4833,77.92,82,21,8.59,few clouds
125,Sinnamary,GF,5.3833,-52.95,82.09,71,66,9.66,broken clouds
126,Thinadhoo,MV,0.5333,72.9333,81.57,73,98,11.72,light rain
127,Manokwari,ID,-0.8667,134.0833,79.18,80,57,7.96,broken clouds
128,Tiksi,RU,71.6872,128.8694,33.35,78,17,20.92,few clouds
129,Presidente Prudente,BR,-22.1256,-51.3889,65.75,63,0,11.5,clear sky
130,Bluff,NZ,-46.6,168.3333,49.8,90,99,4.59,overcast clouds
131,Saint-Philippe,RE,-21.3585,55.7679,76.59,76,8,16.15,clear sky
132,Tambura,SS,5.6,27.4667,86.88,57,43,1.88,scattered clouds
133,Qaanaaq,GL,77.484,-69.3632,26.71,69,100,12.03,overcast clouds
134,Kodiak,US,57.79,-152.4072,38.71,87,0,5.75,clear sky
135,Santa Cruz,BO,-17.8,-63.1667,75.25,64,41,8.05,smoke
136,Guerrero Negro,MX,27.9769,-114.0611,71.74,86,1,7.92,clear sky
137,Port Hedland,AU,-20.3167,118.5667,75.25,46,3,6.91,clear sky
138,Sao Felix Do Xingu,BR,-6.6447,-51.995,82.15,66,34,1.86,scattered clouds
139,Port Lincoln,AU,-34.7333,135.8667,56.68,94,100,7.05,overcast clouds
140,Cuddapah,IN,14.4667,78.8167,90.34,43,99,5.68,overcast clouds
141,Tecolutla,MX,20.4833,-97.0167,78.66,86,22,4.18,few clouds
142,Skjervoy,NO,70.0311,20.9714,55.4,74,43,14.72,scattered clouds
143,Antofagasta,CL,-23.65,-70.4,56.48,61,45,8.25,scattered clouds
144,Fortuna,US,40.5982,-124.1573,46.74,61,0,2.57,clear sky
145,Kapaa,US,22.0752,-159.319,76.98,89,0,5.75,clear sky
146,Panama City,PA,8.9936,-79.5197,80.44,94,40,5.75,scattered clouds
147,Acarau,BR,-2.8856,-40.12,84.65,59,11,18.19,few clouds
148,Lakes Entrance,AU,-37.8811,147.981,46.17,86,58,2.06,broken clouds
149,Coxim,BR,-18.5067,-54.76,86.27,32,74,5.19,broken clouds
150,Ribeira Grande,PT,38.5167,-28.7,75.6,78,20,12.66,few clouds
151,Jasper,US,37.2001,-94.3502,65.23,73,0,5.75,clear sky
152,Puerto Madero,MX,14.7208,-92.4215,79.0,100,100,9.22,overcast clouds
153,Santo Tomas,PH,14.1079,121.1414,77.25,92,100,21.43,heavy intensity rain
154,Wanning,CN,18.8003,110.3967,79.16,83,33,9.66,scattered clouds
155,New Norfolk,AU,-42.7826,147.0587,49.5,74,84,2.06,broken clouds
156,Yulara,AU,-25.2406,130.9889,70.16,55,100,10.11,overcast clouds
157,Angostura,MX,25.3667,-108.1833,77.0,93,39,3.56,scattered clouds
158,Norman Wells,CA,65.282,-126.8329,23.04,93,20,2.3,few clouds
159,Amapa,BR,1.0,-52.0,82.85,66,24,5.1,few clouds
160,Taksimo,RU,56.3444,114.8794,34.47,63,99,1.36,overcast clouds
161,Wageningen,NL,51.9667,5.6667,64.89,69,23,9.22,few clouds
162,Trinidad,BO,-14.8333,-64.9,75.18,73,30,5.75,smoke
163,Muncar,ID,-8.4333,114.3333,77.4,86,92,6.51,overcast clouds
164,Lukovetskiy,RU,64.2956,41.9211,47.46,72,99,7.4,overcast clouds
165,Chokurdakh,RU,70.6333,147.9167,29.28,81,93,7.0,overcast clouds
166,Lebu,CL,-37.6167,-73.65,46.06,83,73,2.42,broken clouds
167,Diffa,NE,13.3154,12.6113,98.42,25,59,3.49,broken clouds
168,Kristianstad,SE,56.0313,14.1524,63.36,73,75,9.22,broken clouds
169,Raudeberg,NO,61.9875,5.1352,47.95,36,100,28.92,light rain
170,Banikoara,BJ,11.2985,2.4386,88.09,58,85,3.87,overcast clouds
171,Ostrovnoy,RU,68.0531,39.5131,44.4,67,100,12.73,overcast clouds
172,Hithadhoo,MV,-0.6,73.0833,76.93,87,100,10.92,overcast clouds
173,Murfreesboro,US,35.8456,-86.3903,68.92,95,100,8.05,overcast clouds
174,Iqaluit,CA,63.7506,-68.5145,33.53,86,100,8.05,overcast clouds
175,Belen,TR,36.4891,36.2233,77.14,28,0,3.44,clear sky
176,Severo-Kurilsk,RU,50.6789,156.125,50.65,93,98,6.2,overcast clouds
177,Carbondale,US,37.7273,-89.2168,64.06,91,0,3.44,clear sky
178,Padang,ID,-0.9492,100.3543,78.85,84,95,2.42,overcast clouds
179,Kupang,ID,-10.1667,123.5833,79.93,79,43,7.25,scattered clouds
180,Innisfail,AU,-17.5333,146.0333,74.88,79,63,4.45,broken clouds
181,Hokitika,NZ,-42.7167,170.9667,53.62,91,100,1.72,overcast clouds
182,Port Elizabeth,ZA,-33.918,25.5701,64.69,90,20,26.46,few clouds
183,Dongsheng,CN,39.8161,109.9776,63.57,37,0,7.47,clear sky
184,Rocha,UY,-34.4833,-54.3333,55.87,57,100,6.13,overcast clouds
185,Voh,NC,-20.9667,164.7,71.89,89,30,4.12,scattered clouds
186,Axim,GH,4.8699,-2.2405,82.31,69,95,9.42,overcast clouds
187,Nantucket,US,41.2835,-70.0995,68.11,66,0,11.5,clear sky
188,Yaan,NG,7.3833,8.5667,85.1,64,98,0.31,overcast clouds
189,Kholodnyy,RU,62.7167,147.95,24.49,87,100,3.15,overcast clouds
190,Odweyne,SO,9.4092,45.064,85.6,30,36,7.52,scattered clouds
191,Port Hardy,CA,50.6996,-127.4199,50.0,100,100,2.3,mist
192,Bilibino,RU,68.0546,166.4372,26.04,90,100,2.55,overcast clouds
193,Gornopravdinsk,RU,60.05,69.9,38.93,76,96,8.66,overcast clouds
194,Nanortalik,GL,60.1432,-45.2371,49.98,72,100,14.83,light rain
195,Lavrentiya,RU,65.5833,-171.0,36.05,76,100,9.42,overcast clouds
196,Hamilton,US,39.1834,-84.5333,64.51,88,100,16.11,overcast clouds
197,Goderich,CA,43.7501,-81.7165,59.92,94,100,2.3,overcast clouds
198,Athabasca,CA,54.7169,-113.2854,34.21,61,29,8.12,scattered clouds
199,Huaihua,CN,27.5494,109.9592,69.49,71,99,1.12,overcast clouds
200,Mezoszilas,HU,46.8111,18.4779,59.83,82,100,2.77,overcast clouds
201,Georgetown,MY,5.4112,100.3354,84.88,74,20,3.44,few clouds
202,Isa Khel,AF,36.6702,68.8443,90.48,10,0,5.26,clear sky
203,Mocuba,MZ,-16.8392,36.9856,97.47,19,10,5.06,clear sky
204,Shunyi,CN,40.125,116.6453,60.75,82,0,0.0,clear sky
205,Moose Factory,CA,51.2585,-80.6094,42.78,100,0,4.61,clear sky
206,Faanui,PF,-16.4833,-151.75,77.63,76,13,19.06,light rain
207,Phan Thiet,VN,10.9333,108.1,79.99,85,95,4.7,light rain
208,Nuuk,GL,64.1835,-51.7216,43.88,49,75,18.01,broken clouds
209,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,68,75,8.05,broken clouds
210,Lata,PT,40.1629,-8.3327,68.92,30,62,10.22,broken clouds
211,Carauari,BR,-4.8828,-66.8958,76.15,89,87,1.28,overcast clouds
212,Gizo,SB,-8.103,156.8419,81.99,75,100,6.64,light rain
213,Cherskiy,RU,68.75,161.3,30.58,74,100,2.48,overcast clouds
214,Karratha,AU,-20.7377,116.8463,79.68,39,3,16.44,clear sky
215,Megion,RU,61.0296,76.1136,33.82,60,94,13.42,overcast clouds
216,Beloha,MG,-25.1667,45.05,95.4,15,0,4.92,clear sky
217,Abeche,TD,13.8292,20.8324,95.02,27,20,4.61,few clouds
218,North Bend,US,43.4065,-124.2243,52.86,100,100,0.0,fog
219,Akhmim,EG,26.5622,31.745,110.1,7,0,10.38,clear sky
220,Altamont,US,42.2068,-121.7372,52.79,70,0,0.0,clear sky
221,Plateros,MX,23.2167,-102.85,47.52,59,7,5.28,clear sky
222,Avera,US,33.194,-82.5271,63.55,83,9,5.03,clear sky
223,Pindiga,NG,9.9833,10.9333,85.28,57,100,3.49,overcast clouds
224,Pacific Grove,US,36.6177,-121.9166,60.03,91,100,5.99,overcast clouds
225,Chake Chake,TZ,-5.2459,39.7666,79.02,78,63,12.5,light rain
226,Bardiyah,LY,31.7561,25.0865,77.38,59,2,12.86,clear sky
227,Keetmanshoop,NA,-26.5833,18.1333,89.24,9,81,16.06,broken clouds
228,Salalah,OM,17.0151,54.0924,84.29,84,75,14.97,broken clouds
229,Kargil,IN,34.5667,76.1,40.59,96,100,3.76,overcast clouds
